delta_US,delta_EU,delta_CN,delta_RoW,cost_US,cost_EU,cost_CN,cost_RoW,pressure_US,pressure_EU,pressure_CN,pressure_RoW,lam_US,lam_EU,lam_CN,lam_RoW,theta,gamma,eta,kappa,success_rate,mean_W,mean_coord_time,fm_US,fm_EU,fm_CN,fm_RoW
0.7663870551461307,0.8347637447676732,0.7823831919384104,0.773602865591329,1.1378837703629485,1.0819401974734912,0.7441440674429585,1.065413743898676,1.535689695264982,1.927659522053452,2.808716868619082,0.926184805011191,1.6162478593532728,2.0162902900905966,1.4243314887566187,1.8150732522002082,0.8995935011486995,0.23225947554285695,18.84508892319874,0.02730210327013774,1.0,1.0,2.205,0.065,0.085,0.915,0.0
0.718690787053449,0.8553886719986973,0.7704505241704446,0.7546673148155796,0.922120037879274,1.1482717547464465,1.102455658604685,1.1189580931106318,2.05313555164281,1.6560254488633868,0.7826193225921834,0.4396603010806297,1.335023890562623,0.5664449030683073,0.6543338964192266,1.474870581502604,0.7896052326681591,0.2201278844269151,18.88988924802498,0.1937693832497361,1.0,1.0,2.555,0.245,0.49,0.31,0.0
0.7263232025845752,0.7854426196413126,0.8175662613050522,0.6817131398247066,1.3234685871786906,1.1402988862156889,0.7354221732849037,1.4933275804558876,1.8255752682785005,2.2253539463298377,2.0990303767718252,2.3669339064442942,3.786788885495105,2.1104890657947752,0.2858373429230674,2.4763775551819687,0.8865114831557315,0.15059283343385663,18.948173619789713,0.1379658588545984,1.0,1.0,2.795,0.0,0.6,0.63,0.0
0.8123071447138505,0.7827157096544299,0.6950660695458027,0.6115898922324982,1.1478797325731545,0.8662979761399157,0.7057560541382912,0.8764726126667985,2.2516986614100034,0.9526724702346909,1.747972659481289,1.3675666930015034,4.966043522059697,4.283902483642698,3.640287807460088,2.798051163242094,0.7274443602634517,0.3372303638791455,19.79036683331105,0.045198463340531056,1.0,0.851785474393082,2.0,0.005,1.0,0.0,0.0
0.659176257072965,0.818942732226637,0.7339418296428731,0.7535862558198128,0.7165996100041765,1.4957169317466903,1.0012579839527058,1.4020020477819006,1.4961417657430707,2.2194106229523043,2.9393879646978665,0.7067083533782672,1.364239174477734,2.6265402420887067,1.9547222480612574,4.027500331861306,0.8954996703635859,0.30041930951358076,9.857906483154553,0.08777675509606793,0.67,0.6815820936382273,4.1940298507462686,0.255,0.005,0.0,0.0
0.7202545407120604,0.8467432378548484,0.7307988274571048,0.5695578263447354,1.012607118625347,0.7358325369735885,0.9967454955745687,0.814962439296469,2.354069928218662,0.9608129433151853,2.2597522017908345,0.5661937955171165,3.9242469823342603,4.986342121639965,1.479330709606524,4.998467814609141,0.7990196469231485,0.2995686115676475,11.57866023741684,0.1406301676896206,1.0,0.9387269558943468,2.485,0.0,1.0,0.02,0.0
0.7527066793752584,0.8390181310098984,0.7758926827790346,0.7298872294220715,1.0324215843194975,0.7998797365053647,0.782069815912023,1.0725531362555345,2.9097521328617804,0.5291726538534578,0.3076877828121549,1.4874080110833856,0.9859079507052866,4.547268063554666,2.8830845564286407,4.116394906086675,0.8616002116446817,0.10398991129279582,20.320353122533405,0.09658607865396339,1.0,1.0,2.04,0.15,0.13,0.985,0.0
0.7020950388161667,0.8801845767163771,0.8467835999001064,0.7506544695318386,1.4628622052803588,1.5500306559441008,0.7065534418970802,0.6907029902060144,0.40705754199456806,2.3118389026885615,1.2795987022340247,2.092321020561365,4.03122869961503,1.352269792470792,4.965537481900268,3.032106629245742,0.8851084547837167,0.28018387017158386,20.75237386155395,0.10785935940566321,1.0,1.0,2.11,0.0,0.895,1.0,0.0
0.8361919443799984,0.8066046865907784,0.6800673038777943,0.7167972551959745,0.5373594696606522,1.5341190460782492,1.0794271040141463,0.8329269546783932,2.3709370290971794,2.868331153222631,1.3693801642032188,2.1755583405083234,2.1867570492278885,0.7007615318242962,0.9303525151786439,4.272162896038093,0.7464297839752261,0.2222530239232176,12.52037035032873,0.08251426207281441,1.0,1.0,2.485,0.94,0.385,0.04,0.0
0.717551397522031,0.8686354717756721,0.8207768862619262,0.6870691476446273,1.3512405918220534,0.5338271574946694,1.4056603900667408,0.691851758874745,0.5621795080305879,1.6870742832825312,1.2484552028975193,2.2098528170854985,3.797809969484945,4.237729115263633,0.9839655734756049,3.32511907288589,0.7093163219769575,0.3343941216651852,18.214330244801573,0.16798988413899674,1.0,0.9985927356219758,2.02,0.0,1.0,0.05,0.0
0.7499324058113265,0.8251550104896869,0.7937102796276477,0.6741790795807648,1.373323711478517,0.8052616283098644,1.4181162904905626,0.5855593118149702,2.2307821298247976,2.2525161903060726,1.8846968046609855,0.9631738769977097,3.0825224360096852,1.140860953943344,0.3457331784923202,3.848437145445864,0.7312188174061606,0.18386316068211656,18.048296649468092,0.08586076471576128,1.0,0.9991719858904642,2.705,0.035,0.735,0.225,0.0
0.7815377899055899,0.7966595481457892,0.7078792007652509,0.5995885313487296,0.7391936486097699,1.0078967996729584,1.180677116299338,1.559146486570501,1.8779361729335702,2.9071696011230257,0.7094360395793576,0.48058004227948736,0.5907528613570024,2.0697255143771325,1.9368209368399611,3.9816475211979827,0.6097749757842259,0.30754184838092447,21.63536206624922,0.08218649912005657,1.0,0.8343971780928294,2.445,0.66,0.14,0.015,0.0
0.7710689443849201,0.8432617597254779,0.80292651781668,0.6749380395409278,0.8968753452157119,0.8716366653854755,0.5519829205469047,1.355016335781245,2.7735225182908634,0.7023578534581889,0.675871150804519,2.983441296299877,0.12654083315113462,4.220700567785621,4.796498563510682,3.7413606102013497,0.6818040102479279,0.3713829408238726,16.5977893779757,0.1502493684520292,1.0,1.0,1.705,0.37,0.915,1.0,0.0
0.7622479575335652,0.7952726659463797,0.8664071490638918,0.6792008135913414,0.8108876397221412,0.6217880706299596,1.2113549420117933,0.5352090399481589,1.8626530746086418,1.6937722886067572,2.923535806555314,2.5119437454425926,1.7178595110877204,2.402065711699555,4.917936009693376,4.168877386298638,0.6292150487949426,0.35015862122487795,18.898458157265324,0.19947143331236167,1.0,1.0,2.185,0.13,0.2,0.0,0.0
0.8375399997139655,0.8904503407049038,0.8722761045311913,0.5832928809825335,1.5117399234642237,0.43816428920677036,1.2141443378885326,1.420112374693597,1.3450239412951435,2.6060136694959186,2.0916496405678964,2.04326358500999,2.997465617198991,0.821515860188899,4.880427729306337,3.466169254180999,0.8744644867426776,0.2180552823509599,10.017198579904102,0.14337109577522916,0.91,0.9850957460283546,4.291208791208791,0.025,0.79,0.0,0.0
0.699274301023887,0.8627540165850667,0.8035949286602436,0.75793326901774,1.453992648786064,0.8115308887598527,0.6988437192967624,0.4350094067923463,1.7166559815255493,0.28694758174170154,1.6116485325461436,1.1879734768617591,1.7062401401862461,4.361034921754531,3.7937020741839027,3.365425749950252,0.7405594543234602,0.3003460843150137,16.483701778426514,0.07507771819297869,1.0,1.0,2.04,0.035,0.98,1.0,0.99
0.8364093504809174,0.766488209824218,0.6990415539500838,0.5590157377284269,1.4975359496257035,0.7519395487676315,0.492522570125049,1.1498212265549286,2.0143084028386027,0.8249417522250618,2.9309773390048366,0.8873361213811487,2.1690020792843274,2.881744367403806,3.4037424912652865,2.0463369266622213,0.6611074643885338,0.2501963904473373,14.342943282146864,0.1432956333699389,1.0,0.8343971780928294,1.93,0.42,0.365,0.85,0.0
0.8668076652246638,0.8935061171964926,0.8726800846628202,0.6563710759836884,0.6528733320799496,1.0453878268035355,0.7979713460125197,0.9802627506704636,1.8899880631401547,2.2483710174310616,1.8782074787148813,1.1193340480202973,4.977613797620407,1.8505844735513375,4.939815785404905,1.2841207636126346,0.6751819797469008,0.3822155758790533,12.392186363655377,0.02349016310493898,1.0,0.8708297989124069,1.32,0.995,0.68,1.0,0.0
0.7395803397088965,0.8965718133907259,0.6870107233006532,0.6334823166509961,1.0271844708681381,1.1500580343586875,0.7187297281026761,1.30944864702621,2.105089053146923,2.7067466721869193,2.9026001984272387,1.4253201621296494,0.6829011613416012,0.9727207567332888,3.5990313406526755,2.305614652840871,0.7738308890521253,0.4483578381360259,18.766422545500788,0.06942220880295433,1.0,0.9461790828801696,2.44,0.22,0.85,0.0,0.0
