parameter,outcome,rho,pvalue
pressure_US,fm_RoW,-0.0168,0.5952
pressure_EU,fm_RoW,-0.0594,0.0603
pressure_CN,fm_RoW,0.0134,0.671
pressure_RoW,fm_RoW,0.0779,0.0138
lam_US,fm_RoW,0.0318,0.3144
lam_EU,fm_RoW,-0.0369,0.2437
lam_CN,fm_RoW,0.0474,0.1342
lam_RoW,fm_RoW,-0.4272,0.0
theta,fm_RoW,0.0043,0.8918
gamma,fm_RoW,-0.0323,0.3077
eta,fm_RoW,-0.0641,0.0426
kappa,fm_RoW,0.0323,0.3082
