parameter,outcome,rho,pvalue
pressure_EU,fm_RoW,-0.0312,0.3246
pressure_CN,fm_RoW,-0.0206,0.5146
pressure_RoW,fm_RoW,0.092,0.0036
lam_US,fm_RoW,0.0519,0.1012
lam_EU,fm_RoW,0.0209,0.5089
lam_CN,fm_RoW,0.0375,0.2364
lam_RoW,fm_RoW,-0.5614,0.0
theta,fm_RoW,-0.0462,0.1442
gamma,fm_RoW,-0.0196,0.5364
eta,fm_RoW,0.0492,0.1202
kappa,fm_RoW,0.0863,0.0063
