delta_US,delta_EU,delta_CN,delta_RoW,cost_US,cost_EU,cost_CN,cost_RoW,pressure_US,pressure_EU,pressure_CN,pressure_RoW,lam_US,lam_EU,lam_CN,lam_RoW,theta,gamma,eta,kappa,phi,success_rate,mean_W,mean_coord_time,fm_US,fm_EU,fm_CN,fm_RoW
0.8280098911678716,0.8158317659628078,0.8517195839822765,0.7103946466836537,0.5130128174651795,1.5707468219641072,1.3133676423884237,1.3432771663323448,0.6023124898577512,1.4885613292128097,1.2696945666395985,2.798603719333655,3.2549390883952567,4.1315319050270665,2.2727295742539226,1.2134697367454068,0.7774671318450672,0.12233603963646136,19.58683640789615,0.1336995918419717,0.7580877400853738,1.0,1.0,2.175,0.84,0.01,0.06,0.0
0.7315409726698697,0.8956047036592355,0.8586242242644395,0.7290282043269652,0.6335664494223612,0.9600652044724411,0.45256451894467453,0.5851473904810575,2.12838462141675,2.298095928746497,2.9106517641940775,1.1460197348799177,1.9152525595708578,2.400823475251459,1.0284096595130001,0.7366153761438111,0.7522255763922988,0.17941827216780942,17.377395925555145,0.09868734539701955,0.8326781960578374,1.0,1.0,1.93,0.38,0.475,0.66,0.3
0.8110609734605173,0.7968549962073062,0.8464519602790402,0.7350958022242644,0.8649740548362095,0.745993724716293,1.2189946047699707,0.5677029803311718,0.7997475568065479,0.27024624181526513,2.4140420381308805,2.078339855628088,3.555310355269042,3.925572252007643,2.348687300137866,2.88683186016918,0.6447350394008504,0.1400855257375907,17.357641465066603,0.10479731710576387,0.5652361064811888,1.0,1.0,2.35,0.135,0.2,0.39,0.405
0.8259497372056859,0.8452077480000886,0.7907158801315992,0.6786176469714451,0.7647401176751347,0.4369814014815273,0.924060867078835,0.6575016073834351,1.3734537702427494,2.596858451487457,0.893333586129687,0.41033253964493155,1.4787810709077833,1.5386094130567498,3.343390922161786,2.829457546472264,0.8508474269140524,0.3325097391145856,13.689416060160987,0.16652366923988624,0.1669729199077039,0.995,0.9960106843119049,3.7839195979899496,0.175,0.52,0.025,0.0
0.6552237768207879,0.7635071791163462,0.8244718701192901,0.6562317629578192,0.5935261348403222,1.0012537301240365,0.5827745232558021,1.2355844500932833,1.4769297578285845,1.2978083717653268,1.0791582451566604,1.9832771310769433,1.8728817917116134,0.5294846046488949,0.6782289203905251,4.813298556292621,0.8907458210264343,0.34489749683376236,11.722179460433274,0.19445174792259032,0.7787509039657946,1.0,1.0,3.245,0.14,0.29,0.545,0.0
0.814884743506569,0.8174042253215683,0.7344483123690319,0.5721699212953049,1.4831228758526103,0.9469315478003334,0.6428360377542764,0.7671479489807831,1.8428538145902138,0.7361251530828872,2.6056892812540324,2.3359287070468278,3.6253684841595906,2.2172558948980083,3.173813319441972,2.9620800476724045,0.8079509124975424,0.12955551239896118,13.821303630388535,0.027490551295140647,0.49399081924451893,0.9,0.9035037961907532,3.522222222222222,0.005,0.335,0.2,0.0
0.7258680788365406,0.7716786283299071,0.7006805935445104,0.6851582516008738,0.6047115622442634,1.5101441420521566,1.097273367640474,0.8162437654418045,1.8750176015738962,0.31271064533166815,2.8860378364139745,1.5763344515929756,3.935402613526403,0.505376999619949,2.484625821106986,2.504464272337153,0.9001044655919945,0.3001048183316264,14.628851614797354,0.06805561935654085,0.3315689973425522,0.47,0.4982991607333362,4.904255319148936,0.005,0.12,0.0,0.0
0.7697546525684537,0.815836719045757,0.6843224159760661,0.7400471425647024,1.4753929262077201,0.568298906798333,1.0648433722468593,0.5302908893625323,2.0986602558594822,1.023392905557273,2.0634122454027297,2.2492351892889273,3.86637271039652,0.6279306351838931,4.588458041174278,1.228048555384916,0.6119720179763775,0.2941983642870192,13.192911974074143,0.16936215376383437,0.8082514720643018,1.0,1.0,2.655,0.0,0.42,0.0,0.59
0.7229419453492245,0.8929349092604617,0.7381835676280237,0.6684631397232944,0.7071581086811234,1.5232522840587563,0.5975293810984218,0.4538927432707948,1.4465169150083543,2.979032801153552,2.7021124822010134,2.3086720535066103,4.464883205304772,4.47788853451953,2.6424059658936008,1.648052353970886,0.8470439782755161,0.3315814421087164,13.23120820423194,0.037004000251072755,0.746789611349026,0.995,0.995,3.135678391959799,0.01,0.235,0.205,0.245
0.7103659186622588,0.8905219725800669,0.728194115001137,0.5782343244546418,1.3973352065498874,0.5839411799493929,0.6151219697892869,1.1192593498250123,2.6550456123030273,0.7901953307150764,1.1033901004752606,2.387863305163238,4.86194948769874,2.5536318123914774,0.8050977625011289,0.1682878097701876,0.6734899295996337,0.14613777622528237,17.487221430580007,0.04192985083313561,0.506329931620633,1.0,0.9946992320668562,2.94,0.0,0.54,0.365,0.18
0.8096803601978639,0.8371674913831354,0.7199551303320115,0.7349486410219205,1.2584885555389622,1.2867808046986502,0.557269301868776,0.5485045643804136,2.800797015267896,1.3433400330185867,1.0776089023975843,1.5936061247167166,3.3480346425415544,4.782553959530152,1.5035865117220697,4.631561303628933,0.607955037243602,0.29431931481438867,16.875651563535193,0.039061532675135596,0.14033959706391264,0.99,0.814944154318126,2.601010101010101,0.0,0.01,0.64,0.0
0.7463962934427499,0.8949347868214773,0.7992085106468746,0.7645953409680486,1.365233098735565,0.9608579218663499,1.341716139102625,0.4214041407723853,0.5501459911057711,2.530928690927525,2.441246992894195,0.8897620404076927,2.7007709939353624,3.069477521430054,4.351920873502455,3.055225070959756,0.7320229021675777,0.23096441519251396,13.962349209229139,0.13734758460439536,0.8674906317523249,0.445,0.8339213771736067,3.49438202247191,0.0,0.35,0.01,0.99
0.754396282877549,0.7871759344427037,0.7273324725995163,0.7215832844559927,1.3798825161086925,0.52633369582495,0.47987062834621386,1.1133203965077423,0.6519764215299203,2.5178265237549384,1.1034203532912046,0.6456478156706422,4.612755315188506,0.9111054414028631,1.4951284034558845,0.8527056364410873,0.6369568203729136,0.10740180571775401,8.77553572829964,0.051435464768453495,0.05338193262717539,0.1,0.3004747501224735,4.95,0.0,0.2,0.04,0.005
0.7859630777055234,0.8521071790199259,0.7587260913664057,0.6231379522989714,1.0054314844266763,1.4500059306815305,1.4213579521866473,0.45217007441535034,0.7491206263904412,0.901048395537089,0.9358158335385826,1.820889792292625,2.1396858859456422,0.34134518764521055,1.930709278451901,2.666389448716423,0.6325350089291891,0.3917104938259959,8.72746613051146,0.18647153642325118,0.0991131415798755,0.63,0.6305782759658227,4.166666666666667,0.005,0.22,0.0,0.0
0.8440222388674832,0.8853979715891426,0.8759141361173186,0.7344659524629266,1.3353730489255948,1.1709799311946574,1.334795625493755,0.5614626500957766,1.7241870988560026,1.6641128930236397,2.6083233963370334,1.5226982553821686,1.9869385308917322,3.23386002906184,1.4056702557541458,0.7848652136743887,0.7529207276875987,0.24591127900820975,11.25597916740423,0.08615212582072306,0.3663924498262474,1.0,1.0,2.975,0.09,0.21,0.495,0.235
0.7253239798148855,0.8069196119590394,0.8171486690911891,0.6182815891513956,1.5386295120584088,1.4996176234458138,0.9770925139600944,0.7940334460056266,1.7224456720325088,2.5835413441274677,2.0446151865402804,2.462077526854463,2.710339152722127,3.201296383411342,1.5119625094940625,3.7009764953204254,0.6647694698002299,0.3431793450864744,20.050066956562517,0.04377851071427791,0.6143797405419198,1.0,0.992518980953766,2.15,0.0,0.035,0.87,0.0
0.671872022092885,0.858857344240714,0.6968986437647041,0.765266159221144,0.5648895160453626,1.5506562950908966,1.361061011302116,1.112418405359625,2.402216287731254,2.436565807203486,2.8515744227476585,0.9468042230577648,2.991371887255715,0.565741068065566,3.119211930118195,0.9393273900546653,0.7807841956711814,0.3003506799118474,14.523792141737182,0.11407371959236212,0.7639233900065879,0.985,0.985,3.5228426395939088,0.135,0.335,0.0,0.195
0.8338262847977753,0.8238229823363143,0.7999186883045225,0.7641843342087234,0.5436803062013474,0.5405242790801327,0.5052508142929222,1.1894359420486336,1.4011728271735435,2.379383894390069,2.0958863865986297,1.167503835402655,4.501996082071525,3.8364075206461967,1.4256212104598611,1.8845408870830649,0.7006207936653641,0.15516407701874987,10.068967215590682,0.18850294340763393,0.43790403719875326,1.0,1.0,1.985,0.465,0.375,0.68,0.01
