outcome,parameter,baseline_rho,baseline_pval,equalised_rho,equalised_pval,delta_rho
fm_US,kappa,-0.0076,0.9151,-0.021,0.7675,-0.013400000000000002
fm_CN,delta_US,0.0991,0.1625,-0.0799,0.2606,-0.179
fm_CN,delta_EU,0.0017,0.9805,-0.0367,0.6063,-0.038400000000000004
fm_CN,delta_CN,0.484,0.0,0.4845,0.0,0.0005000000000000004
fm_CN,delta_RoW,0.091,0.2,0.0536,0.4513,-0.037399999999999996
fm_CN,cost_US,-0.0392,0.5815,0.0071,0.9201,0.0463
fm_CN,cost_EU,0.0387,0.5861,0.0379,0.5941,-0.0007999999999999952
fm_CN,cost_CN,-0.3666,0.0,-0.5037,0.0,-0.13710000000000006
fm_CN,cost_RoW,-0.1461,0.0389,-0.0421,0.5538,0.10400000000000001
fm_CN,pressure_US,0.0484,0.4958,-0.0016,0.9818,-0.049999999999999996
fm_CN,pressure_EU,0.0186,0.7939,-0.0645,0.3645,-0.08310000000000001
fm_CN,pressure_CN,-0.1461,0.0389,-0.0982,0.1665,0.04790000000000001
fm_CN,pressure_RoW,0.0677,0.3407,0.0501,0.4815,-0.017599999999999998
fm_CN,lam_US,-0.0315,0.6574,-0.029,0.684,0.0024999999999999988
fm_CN,lam_EU,0.0032,0.9647,-0.1026,0.1481,-0.10579999999999999
fm_CN,lam_CN,-0.2469,0.0004,-0.1333,0.0599,0.1136
fm_CN,lam_RoW,-0.0342,0.6304,-0.0261,0.7136,0.0081
fm_CN,theta,-0.3516,0.0,-0.2025,0.004,0.1491
fm_CN,gamma,0.0392,0.5811,-0.0166,0.816,-0.0558
fm_CN,eta,0.0436,0.5395,0.0374,0.5992,-0.006199999999999997
fm_CN,kappa,0.087,0.2208,0.0552,0.4378,-0.031799999999999995
