counterfactual,lam_US,lam_CN,fm_CN,fm_US,success_rate
CF1: Baseline,0.7861655617930253,2.862748012663019,0.005,0.265,0.765
CF1: Baseline,1.9154731333628046,1.4019311555799856,0.11,0.115,0.685
CF1: Baseline,2.4281245719065265,2.8803010483842097,0.035,0.14,0.705
CF1: Baseline,1.5176183310938351,2.250507582280294,0.025,0.145,0.705
CF1: Baseline,1.5646719638917799,0.8065109856246409,0.165,0.14,0.835
CF1: Baseline,0.9236492424380836,2.6286545387949456,0.035,0.255,0.73
CF1: Baseline,1.6439826873064534,1.37323588516584,0.105,0.13,0.72
CF1: Baseline,1.3072089911301303,1.3682536399002,0.075,0.17,0.765
CF1: Baseline,1.2342543208916408,2.4772578629278676,0.025,0.195,0.715
CF1: Baseline,2.259711078274078,1.989882039615515,0.085,0.125,0.7
CF1: Baseline,2.481751232962611,0.7788065781138943,0.155,0.105,0.8
CF1: Baseline,2.595125812639043,1.1080244976557188,0.165,0.085,0.715
CF1: Baseline,0.7837995527550798,1.8064311666204829,0.025,0.205,0.77
CF1: Baseline,1.407686548088654,2.281684379168635,0.025,0.155,0.66
CF1: Baseline,2.386637739533135,2.611086283297772,0.02,0.155,0.685
CF1: Baseline,0.9510028436100024,2.145468914737699,0.04,0.17,0.815
CF1: Baseline,1.3540337654449806,2.174243726179894,0.045,0.17,0.68
CF1: Baseline,2.3239875437145665,2.5554150574860657,0.05,0.1,0.655
CF1: Baseline,1.5862218022970271,1.7525835081614478,0.075,0.175,0.72
CF1: Baseline,1.921378495345596,1.8497726041387477,0.075,0.13,0.7
CF1: Baseline,2.5277577322469105,1.3442950589788838,0.15,0.07,0.675
CF1: Baseline,2.6210756051886723,0.8865818996145212,0.195,0.045,0.75
CF1: Baseline,2.300711027113452,2.320469263914611,0.09,0.125,0.67
CF1: Baseline,1.9860880042372595,1.1483398881797362,0.135,0.135,0.79
CF1: Baseline,2.0216951204131046,1.031051507113951,0.19,0.115,0.66
CF1: Baseline,0.625374070659347,2.4124679313499304,0.01,0.225,0.795
CF1: Baseline,1.5251470109856293,1.0990225763008326,0.11,0.16,0.77
CF1: Baseline,2.294338687405017,1.414732843274462,0.115,0.135,0.695
CF1: Baseline,1.9297585859303241,1.277659135763153,0.095,0.125,0.655
CF1: Baseline,0.8484900095656351,1.0390057755296689,0.115,0.14,0.825
CF1: Baseline,1.206653434603687,1.7664516659853298,0.035,0.205,0.75
CF1: Baseline,2.126410658956954,2.9148885136885436,0.035,0.105,0.665
CF1: Baseline,1.9799419753941547,2.91560872829366,0.04,0.175,0.72
CF1: Baseline,0.9176691268903252,0.7096182202540795,0.175,0.17,0.82
CF1: Baseline,0.7503841129372462,1.5049619971311898,0.075,0.215,0.83
CF1: Baseline,1.4371535392040617,2.4804324087744805,0.045,0.175,0.72
CF1: Baseline,0.5763669983142647,1.9824417741494607,0.03,0.215,0.76
CF1: Baseline,2.934886083258789,1.3637013766674522,0.15,0.08,0.68
CF1: Baseline,1.8159667867926095,2.054362662091299,0.06,0.13,0.725
CF1: Baseline,2.0365814727085008,1.8580221689231273,0.115,0.115,0.675
CF1: Baseline,1.5351569691993996,1.4825763862197403,0.085,0.15,0.76
CF1: Baseline,0.816631084472718,2.489617366210927,0.015,0.245,0.795
CF1: Baseline,2.7941113802644213,0.9112344122347172,0.215,0.09,0.705
CF1: Baseline,0.8871555916404718,2.984946632999888,0.005,0.23,0.75
CF1: Baseline,0.5135412414036401,2.6023982488702146,0.005,0.225,0.765
CF1: Baseline,2.8961727364850423,2.3578370460210967,0.075,0.09,0.7
CF1: Baseline,1.1390938300619373,2.4384495773133756,0.03,0.195,0.69
CF1: Baseline,2.0353195317813753,2.3090190062781835,0.055,0.16,0.69
CF1: Baseline,1.720086494930057,1.254544432439661,0.135,0.18,0.755
CF1: Baseline,2.830089363298647,1.9043566694711016,0.115,0.095,0.665
CF1: Baseline,1.3560159160877938,0.9620584804790823,0.11,0.15,0.745
CF1: Baseline,2.1903227958579023,0.7816854998919976,0.215,0.09,0.76
CF1: Baseline,1.9660482496442198,1.8125202623697794,0.06,0.16,0.725
CF1: Baseline,2.9304870968684673,2.5563124958569023,0.07,0.08,0.655
CF1: Baseline,1.3254385260651633,1.6745233222956912,0.075,0.22,0.8
CF1: Baseline,2.958130617190498,2.575957850152366,0.06,0.135,0.71
CF1: Baseline,0.7282425687104889,2.2868472944634135,0.025,0.245,0.76
CF1: Baseline,2.4461532423688084,2.992658796005023,0.045,0.1,0.605
CF1: Baseline,2.5384782577604947,2.840839011748397,0.04,0.11,0.635
CF1: Baseline,2.9034513066398904,0.8618791411144937,0.23,0.06,0.74
CF1: Baseline,2.816124840550466,0.5795089358474382,0.18,0.05,0.685
CF1: Baseline,2.1961340372677762,2.6252341139449937,0.015,0.1,0.635
CF1: Baseline,1.4954763102683124,2.6418306086326533,0.025,0.185,0.695
CF1: Baseline,2.1742269459708146,2.1302396227363545,0.085,0.185,0.625
CF1: Baseline,1.9782987842851993,0.8681203368310709,0.175,0.125,0.73
CF1: Baseline,2.9389937394420085,2.2174332929494893,0.095,0.07,0.635
CF1: Baseline,2.6442538026771683,1.3432520167925706,0.165,0.08,0.745
CF1: Baseline,0.8602140321257324,2.213487441322627,0.03,0.24,0.775
CF1: Baseline,1.0355902285205103,2.3792336097511106,0.025,0.215,0.79
CF1: Baseline,2.0449366082530456,2.7601442284536954,0.02,0.195,0.725
CF1: Baseline,2.6958180183042995,1.3573560182496929,0.145,0.07,0.69
CF1: Baseline,1.1225910818682547,0.5729362641507214,0.185,0.17,0.8
CF1: Baseline,1.8333236195686813,0.533588710674274,0.255,0.1,0.74
CF1: Baseline,1.737862302314676,1.3527031607834172,0.065,0.125,0.69
CF1: Baseline,1.3195102756052275,2.6739974090584337,0.03,0.185,0.745
CF1: Baseline,2.3845418745836238,2.1660335458929856,0.065,0.15,0.71
CF1: Baseline,1.5981207369020327,1.931043459392955,0.055,0.135,0.695
CF1: Baseline,2.014946746147592,1.264968308235815,0.085,0.18,0.715
CF1: Baseline,2.526188592183885,0.7748034970702997,0.205,0.085,0.74
CF1: Baseline,0.7380194243760475,0.5979971492220311,0.2,0.185,0.855
CF1: Baseline,2.7865332283868818,1.233207393265899,0.19,0.075,0.725
CF1: Baseline,0.6927553544271854,2.0621275553227676,0.02,0.275,0.79
CF1: Baseline,2.1039167298532755,1.0226743202046016,0.175,0.095,0.69
CF1: Baseline,2.9372521263680333,1.0793964739828625,0.135,0.075,0.705
CF1: Baseline,1.5556133057573098,1.919257330308064,0.045,0.18,0.715
CF1: Baseline,2.185582903706779,1.493029044215419,0.065,0.095,0.66
CF1: Baseline,0.9774020655354207,1.572831360338124,0.09,0.25,0.765
CF1: Baseline,1.6326684432405116,2.2124393523602626,0.045,0.16,0.705
