test,t,G,n_active,max_deviation,unique,spectral_radius,stable
multistart,5,"(1, 1, 0, 0)",2,1.432e-09,True,,
multistart,5,"(1, 1, 0, 1)",1,0.0,True,,
multistart,5,"(1, 1, 1, 0)",1,0.0,True,,
multistart,4,"(0, 0, 0, 0)",4,1.547e-09,True,,
multistart,4,"(0, 0, 0, 1)",3,5.111e-09,True,,
multistart,4,"(0, 0, 1, 0)",3,2.102e-09,True,,
multistart,4,"(0, 0, 1, 1)",2,4.38e-10,True,,
multistart,4,"(0, 1, 0, 0)",3,3.143e-09,True,,
multistart,4,"(0, 1, 0, 1)",2,3.931e-09,True,,
multistart,4,"(0, 1, 1, 0)",2,3.19e-10,True,,
multistart,4,"(0, 1, 1, 1)",1,0.0,True,,
multistart,4,"(1, 0, 0, 0)",3,2.532e-09,True,,
multistart,4,"(1, 0, 0, 1)",2,1.048e-09,True,,
multistart,4,"(1, 0, 1, 0)",2,8.5e-10,True,,
multistart,4,"(1, 0, 1, 1)",1,0.0,True,,
multistart,4,"(1, 1, 0, 0)",2,1.41e-10,True,,
multistart,4,"(1, 1, 0, 1)",1,0.0,True,,
multistart,4,"(1, 1, 1, 0)",1,0.0,True,,
multistart,3,"(0, 0, 0, 0)",4,3.278e-09,True,,
multistart,3,"(0, 0, 0, 1)",3,5.955e-09,True,,
multistart,3,"(0, 0, 1, 0)",3,1.883e-09,True,,
multistart,3,"(0, 0, 1, 1)",2,4.39e-10,True,,
multistart,3,"(0, 1, 0, 0)",3,4.683e-09,True,,
multistart,3,"(0, 1, 0, 1)",2,4.718e-09,True,,
multistart,3,"(0, 1, 1, 0)",2,1.93e-10,True,,
multistart,3,"(0, 1, 1, 1)",1,0.0,True,,
multistart,3,"(1, 0, 0, 0)",3,3.564e-09,True,,
multistart,3,"(1, 0, 0, 1)",2,1.201e-09,True,,
multistart,3,"(1, 0, 1, 0)",2,7.61e-10,True,,
multistart,3,"(1, 0, 1, 1)",1,0.0,True,,
multistart,3,"(1, 1, 0, 0)",2,4.47e-10,True,,
multistart,3,"(1, 1, 0, 1)",1,0.0,True,,
multistart,3,"(1, 1, 1, 0)",1,0.0,True,,
multistart,2,"(0, 0, 0, 0)",4,1.13e-09,True,,
multistart,2,"(0, 0, 0, 1)",3,5.886e-09,True,,
multistart,2,"(0, 0, 1, 0)",3,1.476e-09,True,,
multistart,2,"(0, 0, 1, 1)",2,4.39e-10,True,,
multistart,2,"(0, 1, 0, 0)",3,4.072e-09,True,,
multistart,2,"(0, 1, 0, 1)",2,2.511e-09,True,,
multistart,2,"(0, 1, 1, 0)",2,1.33e-10,True,,
multistart,2,"(0, 1, 1, 1)",1,0.0,True,,
multistart,2,"(1, 0, 0, 0)",3,3.434e-09,True,,
multistart,2,"(1, 0, 0, 1)",2,1.541e-09,True,,
multistart,2,"(1, 0, 1, 0)",2,9.74e-10,True,,
multistart,2,"(1, 0, 1, 1)",1,0.0,True,,
multistart,2,"(1, 1, 0, 0)",2,5.34e-10,True,,
multistart,2,"(1, 1, 0, 1)",1,0.0,True,,
multistart,2,"(1, 1, 1, 0)",1,0.0,True,,
multistart,1,"(0, 0, 0, 0)",4,1.156e-09,True,,
multistart,1,"(0, 0, 0, 1)",3,5.082e-09,True,,
multistart,1,"(0, 0, 1, 0)",3,1.2e-09,True,,
multistart,1,"(0, 0, 1, 1)",2,4.29e-10,True,,
multistart,1,"(0, 1, 0, 0)",3,3.764e-09,True,,
multistart,1,"(0, 1, 0, 1)",2,2.638e-09,True,,
multistart,1,"(0, 1, 1, 0)",2,1.02e-10,True,,
multistart,1,"(0, 1, 1, 1)",1,0.0,True,,
multistart,1,"(1, 0, 0, 0)",3,2.406e-09,True,,
multistart,1,"(1, 0, 0, 1)",2,5.13e-10,True,,
multistart,1,"(1, 0, 1, 0)",2,8.76e-10,True,,
multistart,1,"(1, 0, 1, 1)",1,0.0,True,,
multistart,1,"(1, 1, 0, 0)",2,8.45e-10,True,,
multistart,1,"(1, 1, 0, 1)",1,0.0,True,,
multistart,1,"(1, 1, 1, 0)",1,0.0,True,,
eigenvalue,10,"(0, 0, 0, 0)",4,,,0.0,True
eigenvalue,10,"(0, 0, 0, 1)",3,,,0.0,True
eigenvalue,10,"(0, 0, 1, 0)",3,,,0.0,True
eigenvalue,10,"(0, 0, 1, 1)",2,,,0.0,True
eigenvalue,10,"(0, 1, 0, 0)",3,,,0.0,True
eigenvalue,10,"(0, 1, 0, 1)",2,,,0.0,True
eigenvalue,10,"(0, 1, 1, 0)",2,,,0.0,True
eigenvalue,10,"(1, 0, 0, 0)",3,,,0.0,True
eigenvalue,10,"(1, 0, 0, 1)",2,,,0.0,True
eigenvalue,10,"(1, 0, 1, 0)",2,,,0.0,True
eigenvalue,10,"(1, 1, 0, 0)",2,,,0.0,True
eigenvalue,9,"(0, 0, 0, 0)",4,,,0.004508,True
eigenvalue,9,"(0, 0, 0, 1)",3,,,0.02068,True
eigenvalue,9,"(0, 0, 1, 0)",3,,,0.093524,True
eigenvalue,9,"(0, 0, 1, 1)",2,,,0.065114,True
eigenvalue,9,"(0, 1, 0, 0)",3,,,0.013547,True
eigenvalue,9,"(0, 1, 0, 1)",2,,,0.032209,True
eigenvalue,9,"(0, 1, 1, 0)",2,,,0.007862,True
eigenvalue,9,"(1, 0, 0, 0)",3,,,0.023662,True
eigenvalue,9,"(1, 0, 0, 1)",2,,,0.057226,True
eigenvalue,9,"(1, 0, 1, 0)",2,,,0.02171,True
eigenvalue,9,"(1, 1, 0, 0)",2,,,0.00558,True
eigenvalue,8,"(0, 0, 0, 0)",4,,,0.010635,True
eigenvalue,8,"(0, 0, 0, 1)",3,,,0.050619,True
eigenvalue,8,"(0, 0, 1, 0)",3,,,0.187904,True
eigenvalue,8,"(0, 0, 1, 1)",2,,,0.122553,True
eigenvalue,8,"(0, 1, 0, 0)",3,,,0.029101,True
eigenvalue,8,"(0, 1, 0, 1)",2,,,0.11328,True
eigenvalue,8,"(0, 1, 1, 0)",2,,,0.026179,True
eigenvalue,8,"(1, 0, 0, 0)",3,,,0.067006,True
eigenvalue,8,"(1, 0, 0, 1)",2,,,0.298109,True
eigenvalue,8,"(1, 0, 1, 0)",2,,,0.071034,True
eigenvalue,8,"(1, 1, 0, 0)",2,,,0.036289,True
eigenvalue,7,"(0, 0, 0, 0)",4,,,0.028676,True
eigenvalue,7,"(0, 0, 0, 1)",3,,,0.188222,True
eigenvalue,7,"(0, 0, 1, 0)",3,,,0.268429,True
eigenvalue,7,"(0, 0, 1, 1)",2,,,0.099366,True
eigenvalue,7,"(0, 1, 0, 0)",3,,,0.060628,True
eigenvalue,7,"(0, 1, 0, 1)",2,,,0.379691,True
eigenvalue,7,"(0, 1, 1, 0)",2,,,0.043882,True
eigenvalue,7,"(1, 0, 0, 0)",3,,,0.196105,True
eigenvalue,7,"(1, 0, 0, 1)",2,,,0.040147,True
eigenvalue,7,"(1, 0, 1, 0)",2,,,0.096082,True
eigenvalue,7,"(1, 1, 0, 0)",2,,,0.053379,True
eigenvalue,6,"(0, 0, 0, 0)",4,,,0.08056,True
eigenvalue,6,"(0, 0, 0, 1)",3,,,0.400207,True
eigenvalue,6,"(0, 0, 1, 0)",3,,,0.283186,True
eigenvalue,6,"(0, 0, 1, 1)",2,,,0.070919,True
eigenvalue,6,"(0, 1, 0, 0)",3,,,0.142725,True
eigenvalue,6,"(0, 1, 0, 1)",2,,,0.251209,True
eigenvalue,6,"(0, 1, 1, 0)",2,,,0.047184,True
eigenvalue,6,"(1, 0, 0, 0)",3,,,0.404259,True
eigenvalue,6,"(1, 0, 0, 1)",2,,,0.113451,True
eigenvalue,6,"(1, 0, 1, 0)",2,,,0.105592,True
eigenvalue,6,"(1, 1, 0, 0)",2,,,0.069741,True
eigenvalue,5,"(0, 0, 0, 0)",4,,,0.15265,True
eigenvalue,5,"(0, 0, 0, 1)",3,,,0.255634,True
eigenvalue,5,"(0, 0, 1, 0)",3,,,0.26023,True
eigenvalue,5,"(0, 0, 1, 1)",2,,,0.064112,True
eigenvalue,5,"(0, 1, 0, 0)",3,,,0.243064,True
eigenvalue,5,"(0, 1, 0, 1)",2,,,0.332573,True
eigenvalue,5,"(0, 1, 1, 0)",2,,,0.043879,True
eigenvalue,5,"(1, 0, 0, 0)",3,,,0.294032,True
eigenvalue,5,"(1, 0, 0, 1)",2,,,0.144082,True
eigenvalue,5,"(1, 0, 1, 0)",2,,,0.111775,True
eigenvalue,5,"(1, 1, 0, 0)",2,,,0.081847,True
eigenvalue,4,"(0, 0, 0, 0)",4,,,0.198427,True
eigenvalue,4,"(0, 0, 0, 1)",3,,,0.291276,True
eigenvalue,4,"(0, 0, 1, 0)",3,,,0.247389,True
eigenvalue,4,"(0, 0, 1, 1)",2,,,0.063242,True
eigenvalue,4,"(0, 1, 0, 0)",3,,,0.276606,True
eigenvalue,4,"(0, 1, 0, 1)",2,,,0.341912,True
eigenvalue,4,"(0, 1, 1, 0)",2,,,0.040709,True
eigenvalue,4,"(1, 0, 0, 0)",3,,,0.339721,True
eigenvalue,4,"(1, 0, 0, 1)",2,,,0.147391,True
eigenvalue,4,"(1, 0, 1, 0)",2,,,0.113662,True
eigenvalue,4,"(1, 1, 0, 0)",2,,,0.088778,True
eigenvalue,3,"(0, 0, 0, 0)",4,,,0.197385,True
eigenvalue,3,"(0, 0, 0, 1)",3,,,0.296455,True
eigenvalue,3,"(0, 0, 1, 0)",3,,,0.241364,True
eigenvalue,3,"(0, 0, 1, 1)",2,,,0.063273,True
eigenvalue,3,"(0, 1, 0, 0)",3,,,0.284716,True
eigenvalue,3,"(0, 1, 0, 1)",2,,,0.341043,True
eigenvalue,3,"(0, 1, 1, 0)",2,,,0.037824,True
eigenvalue,3,"(1, 0, 0, 0)",3,,,0.342352,True
eigenvalue,3,"(1, 0, 0, 1)",2,,,0.147928,True
eigenvalue,3,"(1, 0, 1, 0)",2,,,0.111352,True
eigenvalue,3,"(1, 1, 0, 0)",2,,,0.085757,True
eigenvalue,2,"(0, 0, 0, 0)",4,,,0.177373,True
eigenvalue,2,"(0, 0, 0, 1)",3,,,0.294084,True
eigenvalue,2,"(0, 0, 1, 0)",3,,,0.237822,True
eigenvalue,2,"(0, 0, 1, 1)",2,,,0.063222,True
eigenvalue,2,"(0, 1, 0, 0)",3,,,0.286329,True
eigenvalue,2,"(0, 1, 0, 1)",2,,,0.336864,True
eigenvalue,2,"(0, 1, 1, 0)",2,,,0.035482,True
eigenvalue,2,"(1, 0, 0, 0)",3,,,0.337221,True
eigenvalue,2,"(1, 0, 0, 1)",2,,,0.14761,True
eigenvalue,2,"(1, 0, 1, 0)",2,,,0.106311,True
eigenvalue,2,"(1, 1, 0, 0)",2,,,0.081836,True
eigenvalue,1,"(0, 0, 0, 0)",4,,,0.166547,True
eigenvalue,1,"(0, 0, 0, 1)",3,,,0.288305,True
eigenvalue,1,"(0, 0, 1, 0)",3,,,0.235244,True
eigenvalue,1,"(0, 0, 1, 1)",2,,,0.062989,True
eigenvalue,1,"(0, 1, 0, 0)",3,,,0.281772,True
eigenvalue,1,"(0, 1, 0, 1)",2,,,0.331192,True
eigenvalue,1,"(0, 1, 1, 0)",2,,,0.033766,True
eigenvalue,1,"(1, 0, 0, 0)",3,,,0.328555,True
eigenvalue,1,"(1, 0, 0, 1)",2,,,0.146867,True
eigenvalue,1,"(1, 0, 1, 0)",2,,,0.099844,True
eigenvalue,1,"(1, 1, 0, 0)",2,,,0.077918,True
