vary_bloc,lam_value,cost_mult,success_rate,mean_coord_time,fm_US,fm_CN
US,3.208846169945872,0.9266541277024629,0.94,3.6879432624113475,0.03333333333333333,0.26666666666666666
US,3.5050927196898387,1.236841634871237,0.5866666666666667,3.215909090909091,0.02,0.38666666666666666
US,0.8296207176067734,1.5707468219641072,0.2,4.366666666666666,0.06,0.006666666666666667
US,3.1639889569662354,1.3432771663323448,0.0,,0.0,0.0
US,0.9483977143644106,0.9404631254746807,0.8266666666666667,4.137096774193548,0.18666666666666668,0.07333333333333333
US,1.7977930848140344,1.5121179866183225,0.006666666666666667,2.0,0.006666666666666667,0.0
US,2.753527920282326,1.3873139359249962,0.013333333333333334,2.5,0.013333333333333334,0.0
US,2.051949695895659,0.6726864661417323,0.98,3.45578231292517,0.22666666666666666,0.16666666666666666
US,2.4410467545554217,0.47658070732501046,1.0,3.22,0.30666666666666664,0.17333333333333334
US,3.396709101974037,1.1579972789464779,0.6933333333333334,3.7596153846153846,0.0,0.20666666666666667
US,3.1533070902988083,0.8254311617558421,0.96,3.6944444444444446,0.06666666666666667,0.18666666666666668
US,3.8974430853821613,1.4717453455866374,0.0,,0.0,0.0
US,3.2243422397581667,0.6335664494223612,0.9733333333333334,3.452054794520548,0.18,0.11333333333333333
US,2.1335235130446195,0.45256451894467453,0.9866666666666667,3.4864864864864864,0.3933333333333333,0.18666666666666668
US,1.0400132222364173,1.2196587438909456,0.48,4.222222222222222,0.1,0.07333333333333333
US,3.10666754567736,1.5610116789210524,0.0,,0.0,0.0
US,1.6403887534835317,0.8445516472418427,0.94,3.8156028368794326,0.18666666666666668,0.07333333333333333
US,2.1434453394653277,0.6273656309011428,0.98,3.496598639455782,0.19333333333333333,0.14666666666666667
US,0.9547252686741508,0.9708459114711206,0.7466666666666667,4.035714285714286,0.19333333333333333,0.06666666666666667
US,1.2941827216780943,1.2037767936190127,0.48,3.8055555555555554,0.08,0.12
US,2.0300317160531574,1.3992138352694052,0.02,4.666666666666667,0.006666666666666667,0.0
US,2.950927857007872,0.7748399696584494,1.0,3.3,0.11333333333333333,0.18
US,3.4129093048832035,1.3657172289961625,0.0,,0.0,0.0
US,1.8561743266056105,0.745993724716293,0.9533333333333334,3.888111888111888,0.18666666666666668,0.11333333333333333
US,2.888734263912414,0.5677029803311718,0.9933333333333333,3.348993288590604,0.24666666666666667,0.23333333333333334
US,1.199678708662879,0.40883472370120666,0.9866666666666667,3.418918918918919,0.4066666666666667,0.11333333333333333
US,3.254235321257484,1.1978210279104387,0.6333333333333333,3.463157894736842,0.013333333333333334,0.2733333333333333
US,2.968078825192173,1.3368748372263615,0.013333333333333334,4.0,0.0,0.0
US,2.1062052143841896,1.0824894351434726,0.7266666666666667,3.669724770642202,0.04666666666666667,0.16
US,0.9892894934468011,0.5374360882431681,0.96,3.798611111111111,0.3333333333333333,0.09333333333333334
US,2.8394103662666508,0.9653154473717591,0.9333333333333333,3.657142857142857,0.06,0.29333333333333333
US,2.478326372684161,1.3179986288992307,0.02666666666666667,4.0,0.0,0.0
US,2.721514120002068,1.0642952807895951,0.8466666666666667,3.8346456692913384,0.04666666666666667,0.22666666666666666
US,2.4572250626089476,0.7647401176751347,0.9333333333333333,3.7142857142857144,0.12,0.17333333333333334
US,0.6078624209877879,0.924060867078835,0.7533333333333333,4.008849557522124,0.25333333333333335,0.013333333333333334
US,1.2510463548683521,0.8902343724695635,0.8733333333333333,3.816793893129771,0.17333333333333334,0.06666666666666667
US,3.4869107564385815,0.680727383038409,0.9933333333333333,3.5503355704697985,0.12,0.23333333333333334
US,0.7040595959117311,0.7376606704263959,0.9,3.8666666666666667,0.26666666666666666,0.06
US,1.5275781521833927,1.1942998176722743,0.5733333333333334,3.941860465116279,0.10666666666666667,0.08666666666666667
US,2.4496125331944745,1.3406778509276962,0.02666666666666667,3.5,0.0,0.006666666666666667
US,2.8250973911458566,0.8876642337280847,0.94,3.5673758865248226,0.05333333333333334,0.21333333333333335
US,3.3490713463311215,0.6003675038892448,0.9866666666666667,3.2162162162162162,0.23333333333333334,0.16
US,0.5794922559685116,0.5080574329307701,0.96,3.6041666666666665,0.38666666666666666,0.04666666666666667
US,3.028257727087576,0.954252676301665,0.8933333333333333,3.701492537313433,0.03333333333333333,0.2733333333333333
US,1.0644512266176063,1.0012537301240365,0.7933333333333333,3.899159663865546,0.18,0.02666666666666667
US,1.0330923594960895,1.2355844500932833,0.48,4.291666666666667,0.08,0.02
US,2.0615469645091076,0.8572254713157791,0.9333333333333333,3.857142857142857,0.10666666666666667,0.18
US,1.555292312017568,1.1563391117426662,0.6,3.7,0.06666666666666667,0.08
US,1.7663441369368664,0.5051799031793213,1.0,3.2666666666666666,0.24,0.22666666666666666
US,0.9130206574218036,1.5542771974594176,0.26,4.17948717948718,0.06,0.006666666666666667
