Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.0289127019668821,0.0369631027432811,0.0672487326448146,0.0875202108574959,0.0976595884387593,0.142413149685854,0.108344211411811,0.087488106369609,0.0804195784134292,0.083934367593273,0.0741363263613248,0.0986550957201151,0.110742688149754,0.109233346090415,0.112223780780194,0.145584204673526,0.140495295881118,0.141644158298283,..,..
Afghanistan,AFG,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,0.151712497422842,0.193955052561454,0.352871661380946,0.459241401214371,0.512445363159147,0.747278985874175,0.568510370058878,0.459072940582729,0.421982528536025,0.440425545207372,0.389012664223314,0.517669049829113,0.581095803836074,0.573175891904286,0.588867483637428,0.763918339477169,0.737215506136389,0.743243887250785,..,..
Afghanistan,AFG,Total greenhouse gas emissions excluding LULUCF (Mt CO2e),EN.GHG.ALL.MT.CE.AR5,16.3385,17.5116,20.86,23.8625,27.7685,31.8988,29.7593,28.1319,28.3545,28.0931,27.1647,30.4746,31.9358,32.4362,32.4002,32.8358,31.9121,32.4351,33.0348,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,28.6359685844686,30.1050113574013,24.8922700059742,29.2975010547259,26.2100685374552,23.7436639877543,24.390873626371,22.8106627361766,22.1370413719574,20.6343227166798,25.7403140364582,26.4201990834448,22.0428967527575,25.7739707394105,29.9755825210461,33.5976188725451,33.7014323213923,34.7432471445174,..,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.7098945514103,51.4117163747271,72.8854696086536,67.5846651516385,..,..
Afghanistan,AFG,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,6.08546557636508,5.93975840059081,5.77856313957168,4.84228294123853,5.00039560091779,5.39100619807464,5.46499973624519,5.51833289369559,5.74254814033237,5.71089422316012,6.4811395410182,5.99050382484833,5.1223362273086,6.00631412786109,6.50692976274372,6.32161407355206,5.82830892908412,5.97911638157204,..,..
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.123668031216,58.129800837128,58.132867240084,58.132867240084,58.134400441562,58.131334038606,58.129800837128,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.2769881790166,58.2769881790166,58.7415482268525,58.7415482268525,58.7415482268525,58.4395075356853,..,..
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,10.0468971030039,-3.58511111025937,12.5579601438018,17.5429289286094,11.3640937418183,-1.24150600982001,7.17438724753763,9.78449593859924,14.3516893380043,12.2525481629518,17.5839381624543,12.1411782956513,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.306369597749965,0.299154617906088,0.302168496201669,0.285372468099248,0.277290427890982,0.262142334798285,0.262828904865246,0.262203992574321,0.260716243829593,0.247665372879146,0.243196202109702,0.239878159927191,0.236210944357497,0.234323068097157,0.225226238746348,0.221361870842978,0.208686574364929,0.204884916903693,0.203617205270645,..
